title,year,genre,plot,runtime (minutes),RT rating (%),imdb rating
Star Wars: Episode IV - A New Hope,1977,"Action, Adventure, Fantasy",Deleted scenes from Star Wars: Episode IV - A New Hope (1977).,121,94,8.6
Shadow of a Doubt,1943,"Film-Noir, Thriller","A teenage girl, overjoyed when her uncle comes to visit the family in their quiet California town, slowly begins to suspect that he is the ""Merry Widow"" killer sought by the authorities.",108,100,7.8
Mr. Smith Goes to Washington,1939,"Comedy, Drama","A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his character.",129,97,8.1
Ratatouille,2007,"Animation, Adventure, Comedy",A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,111,96,8.1
Brooklyn,2015,"Drama, Romance","An Irish immigrant lands in 1950s Brooklyn, where she quickly falls into a romance with a local. When her past catches up with her, however, she must choose between two countries and the lives that exist within.",117,97,7.5
Saving Private Ryan,1998,"Drama, War","Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose comrades have been killed in action.",169,94,8.6
The Lavender Hill Mob,1951,"Comedy, Crime",A meek bank clerk who oversees the shipment of bullion joins with an eccentric neighbor to steal gold bars and smuggle them out of the country as miniature Eiffel Towers.,78,100,7.5
Raiders of the Lost Ark,1981,"Action, Adventure","In 1936, archaeologist Indiana Jones is tasked by Army Intelligence to help locate a legendary ancient power, the Ark of Covenant, before the Nazis get it first.",115,94,8.4
WALL-E,2008,"Animation, Adventure, Family","After the death of her husband, Tabatha- a young, tattooed, rebellious horse trainer- wrestles with financial insecurity and unresolved grief while providing refuge for a group of wayward teenagers on her broken-down ranch in the Badlands.",98,95,8.4
I Am Cuba,1964,Drama,Four vignettes about the lives of the Cuban people set during the pre-revolutionary era.,141,100,8.2
Maria Full of Grace,2004,"Crime, Drama",A pregnant Colombian teenager becomes a drug mule to make some desperately-needed money for her family.,101,97,7.4
