title,year,RT rating,plot,genre,runtime,imdb_rating
The Bridge on the River Kwai,1957,96%,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it.","Adventure, Drama, War",161 min,8.1
The Farewell,2019,97%,"A Chinese family discovers their grandmother has only a short while left to live and decide to keep her in the dark, scheduling a wedding to gather before she dies.","Comedy, Drama",100 min,7.5
The Adventures of Robin Hood,1938,100%,"When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence in 1190s England, a Saxon lord fights back as the outlaw leader of a resistance movement.","Action, Adventure, Romance",102 min,7.9
Whiplash,2014,94%,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,"Drama, Music",106 min,8.5
Meet Me in St. Louis,1944,99%,Young love and childish fears highlight a year in the life of a turn-of-the-century family.,"Comedy, Drama, Family",113 min,7.5
The Insider,1999,96%,A research chemist comes under personal and professional attack when he decides to appear in a 60 Minutes exposé on Big Tobacco.,"Biography, Drama, History",157 min,7.8
Monty Python and the Holy Grail,1975,92%,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.","Adventure, Comedy, Fantasy",91 min,8.2
Das Boot,1981,98%,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.,"Drama, War",149 min,8.4
Pinocchio,1940,100%,"A father's wish magically brings a wooden boy to life in Italy, giving him a chance to care for the child.","Animation, Adventure, Comedy",88 min,7.5
Star Wars: Episode V - The Empire Strikes Back,1980,93%,"After the Empire overpowers the Rebel Alliance, Luke Skywalker begins training with Jedi Master Yoda, while Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy.","Action, Adventure, Fantasy",124 min,8.7
Dog Day Afternoon,1975,96%,"Three amateur robbers plan to hold up a Brooklyn bank. A nice, simple robbery: Walk in, take the money, and run. Unfortunately, the supposedly uncomplicated heist suddenly becomes a bizarre nightmare as everything that could go wrong does.","Biography, Crime, Drama",125 min,8.0
Aladdin,1992,96%,"Aladdin, a kind thief, woos Jasmine, the princess of Agrabah, with the help of Genie. When Jafar, the grand vizier, tries to usurp the king, Jasmine, Aladdin and Genie must stop him from succeeding.","Animation, Adventure, Comedy",90 min,8.0
Avengers: Endgame,2019,94%,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.","Action, Adventure, Sci-Fi",181 min,8.4
Rashomon,1950,98%,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.","Crime, Drama, Mystery",88 min,8.2
